,site_id,longitude,latitude,State,County,fraction_of_usable_area,power_curve,capacity,wind_speed,capacity_factor,full_timeseries_directory,full_timeseries_path
2709,56135,-118.172546,38.57473,Nevada,Mineral,1.0,3,16,5.05,0.235,112,112/56135.nc
2710,79606,-118.168854,40.597824,Nevada,Pershing,1.0,3,16,6.03,0.263,159,159/79606.nc
2711,109373,-118.170242,43.457809,Oregon,Malheur,1.0,3,16,5.4,0.236,218,218/109373.nc
2712,117337,-118.170181,45.297115,Oregon,Union,1.0,3,16,5.68,0.252,234,234/117337.nc
2713,120351,-118.172333,46.051994,Washington,Walla Walla,1.0,3,16,6.15,0.32,240,240/120351.nc
2714,122382,-118.167664,46.517685,Washington,Columbia,0.6143,3,10,6.26,0.368,244,244/122382.nc
2715,29876,-118.164215,34.445187,California,Los Angeles,0.989,3,16,5.62,0.263,59,59/29876.nc
2716,31039,-118.163986,34.578388,California,Los Angeles,0.8006,2,14,7.2,0.408,62,62/31039.nc
2717,79938,-118.158691,40.638599,Nevada,Pershing,1.0,3,16,5.08,0.209,159,159/79938.nc
2718,107667,-118.15683,43.150982,Oregon,Malheur,0.5879,2,10,7.46,0.371,215,215/107667.nc
2719,117260,-118.162933,45.279198,Oregon,Union,1.0,3,16,5.91,0.268,234,234/117260.nc
2720,119493,-118.161774,45.821678,Oregon,Umatilla,0.4406,3,8,6.97,0.375,238,238/119493.nc
2721,31197,-118.148666,34.600994,California,Los Angeles,0.1471,3,4,6.32,0.392,62,62/31197.nc
2722,41117,-118.15155,36.221355,California,Tulare,0.0287,3,2,5.9,0.26,82,82/41117.nc
2723,43026,-118.150711,36.623169,California,Inyo,0.9171,3,16,6.4,0.308,86,86/43026.nc
2724,79607,-118.14534,40.602901,Nevada,Pershing,1.0,3,16,5.86,0.257,159,159/79607.nc
2725,107586,-118.149857,43.133083,Oregon,Malheur,0.994,2,16,7.14,0.351,215,215/107586.nc
2726,122692,-118.145157,46.599545,Washington,Whitman,1.0,3,16,6.03,0.311,245,245/122692.nc
2727,31040,-118.142609,34.583393,California,Los Angeles,0.1162,2,2,6.84,0.4,62,62/31040.nc
2728,37798,-118.140579,35.517323,California,Kern,0.0,2,2,8.56,0.457,75,75/37798.nc
