,state,latitude,longitude,Distance to Salt Cavern [km],Salt Cavern Name
1505,Wisconsin,45.582,-92.457,675.4752102625911,LACEY STORAGE
1506,Texas,33.309,-100.474,230.68410341201616,SALADO
1507,Arizona,34.08,-114.026,1054.679507673109,SALADO
1508,Kansas,38.792,-95.074,722.0482372655275,ARCADIA
1509,Oklahoma,35.161,-94.989,349.6998026577308,ARCADIA
1510,Arkansas,34.116,-91.981,196.2898157910329,ARCADIA
1511,Wyoming,42.906,-110.984,1059.4315804189,ASQUITH
1512,Wyoming,43.376,-108.044,970.8210629138348,ASQUITH
1513,Wyoming,43.01,-104.946,1023.7175754183808,ASQUITH
1514,SouthDakota,44.477,-100.687,974.4355121707376,ASQUITH
1515,Texas,31.641,-102.281,74.24600698487016,KEYSTONE
1516,Minnesota,43.659,-93.937,722.5500092013614,LACEY STORAGE
1517,Virginia,36.567,-77.845,352.2523828556687,SALTVILLE STORAGE
1518,Kansas,39.166,-98.324,828.4242355336363,SALADO
1519,Ohio,40.125,-82.807,312.55151549493235,MARYSVILLE STORAGE SYSTEM
1520,Washington,46.991,-120.117,1090.171578333587,ASQUITH
